name,status,length
3054390_0091.h5,transfered successed,178000
3054390_0112.h5,transfered successed,39125
3054390_0115.h5,transfered successed,45875
3054390_0154.h5,transfered successed,66125
3054390_0160.h5,transfered successed,39250
3054390_0163.h5,transfered successed,46750
3054390_0178.h5,transfered successed,38375
3054390_0192.h5,transfered successed,118750
3054390_0195.h5,transfered successed,73625
3054390_0204.h5,transfered successed,58500
3054390_0207.h5,transfered successed,104250
3054390_0213.h5,transfered successed,131000
3054390_0219.h5,transfered successed,81125
3054390_0231.h5,transfered successed,136875
3054390_0257.h5,transfered successed,140250
3054390_0258.h5,transfered successed,46750
3054390_0285.h5,transfered successed,174125
3054390_0291.h5,transfered successed,65625
3054390_0294.h5,transfered successed,170750
3054390_0297.h5,transfered successed,50750
3054390_0309.h5,transfered successed,125250
3054390_0312.h5,transfered successed,117125
3054390_0318.h5,transfered successed,43000
3054390_0333.h5,transfered successed,261625
3054390_0339.h5,transfered successed,59000
3054390_0342.h5,transfered successed,358500
3054390_0345.h5,transfered successed,581375
3054390_0348.h5,transfered successed,1679125
3054941_0001.h5,transfered successed,4404750
3054941_0029.h5,transfered successed,6079500
3054941_0048.h5,transfered successed,1683500
3056183_0092.h5,transfered successed,71875
3056183_0098.h5,transfered successed,190375
3056183_0104.h5,transfered successed,58250
3056183_0116.h5,transfered successed,76500
3056183_0127.h5,transfered successed,87750
3056183_0130.h5,transfered successed,51875
3056183_0136.h5,transfered successed,95875
3056183_0145.h5,transfered successed,35875
3056183_0148.h5,transfered successed,44500
3056183_0154.h5,transfered successed,124250
3056183_0160.h5,transfered successed,43500
3056183_0166.h5,transfered successed,36375
3056183_0169.h5,transfered successed,43875
3056183_0172.h5,transfered successed,95750
3056183_0190.h5,transfered successed,51125
3056183_0196.h5,transfered successed,73500
3056183_0199.h5,transfered successed,66375
3056183_0202.h5,transfered successed,126500
3056183_0205.h5,transfered successed,71875
3056183_0208.h5,transfered successed,43375
3056183_0217.h5,transfered successed,140500
3056183_0220.h5,transfered successed,100375
3056183_0226.h5,transfered successed,117750
3056183_0235.h5,transfered successed,39750
3057689_0011.h5,transfered successed,2365125
3057689_0015.h5,transfered successed,1475000
3059464_0009.h5,transfered successed,10008375
3059473_0053.h5,transfered successed,68750
3059473_0115.h5,transfered successed,227500
3059473_0124.h5,transfered successed,199250
3059473_0199.h5,transfered successed,44625
3059473_0205.h5,transfered successed,60000
3059473_0244.h5,transfered successed,409500
3059473_0262.h5,transfered successed,347750
3059473_0265.h5,transfered successed,187250
3059473_0277.h5,transfered successed,322375
3059473_0280.h5,transfered successed,395250
3059473_0289.h5,transfered successed,95875
3059889_0013.h5,transfered successed,987500
3059889_0015.h5,transfered successed,598750
3059889_0022.h5,transfered successed,1175625
3059889_0025.h5,transfered successed,10380375
3060133_0004.h5,transfered successed,136250
3060133_0025.h5,transfered successed,2987250
3060133_0051.h5,transfered successed,3595750
3060722_0023.h5,transfered successed,2011250
3060722_0030.h5,transfered successed,36375
3060722_0033.h5,transfered successed,268875
3060722_0036.h5,transfered successed,426625
3060722_0045.h5,transfered successed,2702500
3060722_0048.h5,transfered successed,2262125
3060722_0050.h5,transfered successed,691125
3060722_0053.h5,transfered successed,1266250
3060722_0056.h5,transfered successed,1233625
3060722_0057.h5,transfered successed,4360500
3063915_0011.h5,transfered successed,5207500
3063915_0030.h5,transfered successed,4025125
3066903_0021.h5,transfered successed,844875
3069719_0004.h5,transfered successed,37875
3069719_0005.h5,transfered successed,2215875
3069719_0007.h5,transfered successed,336750
3069719_0026.h5,transfered successed,173875
3069719_0031.h5,transfered successed,3627000
3069719_0037.h5,transfered successed,1625375
3069719_0040.h5,transfered successed,514625
3071190_0025.h5,transfered successed,384125
3071190_0032.h5,transfered successed,12467500
3071190_0035.h5,transfered successed,238750
3071190_0038.h5,transfered successed,124250
3071190_0041.h5,transfered successed,4082625
3073841_0011.h5,transfered successed,84250
3082361_0009.h5,transfered successed,458875
3082361_0016.h5,transfered successed,6853875
3085520_0001.h5,transfered successed,5555125
3085520_0007.h5,transfered successed,3494125
3088139_0011.h5,transfered successed,316750
3088139_0026.h5,transfered successed,2442125
3088139_0032.h5,transfered successed,4761375
3088139_0044.h5,transfered successed,520625
3088139_0054.h5,transfered successed,48375
3088356_0012.h5,transfered successed,1577375
3088356_0014.h5,transfered successed,813500
3089121_0004.h5,transfered successed,5324000
3089121_0009.h5,transfered successed,3881250
3106263_0014.h5,transfered successed,194500
3106263_0016.h5,transfered successed,1636375
3106263_0018.h5,transfered successed,393750
3106263_0021.h5,transfered successed,1303000
3106263_0024.h5,transfered successed,347875
3106263_0027.h5,transfered successed,1506875
3106263_0040.h5,transfered successed,470375
3106263_0056.h5,transfered successed,1851375
3108389_0016.h5,transfered successed,11327875
3108389_0019.h5,transfered successed,15177250
3108498_0003.h5,transfered successed,1395875
3108498_0009.h5,transfered successed,1127375
3108498_0011.h5,transfered successed,8090000
3108498_0017.h5,transfered successed,3217000
3108498_0019.h5,transfered successed,1528625
3114082_0020.h5,transfered successed,2968750
3114082_0023.h5,transfered successed,1800000
3115499_0005.h5,transfered successed,133250
3115499_0023.h5,transfered successed,126375
3115499_0038.h5,transfered successed,81500
3115499_0041.h5,transfered successed,81000
3115499_0068.h5,transfered successed,394250
3115499_0083.h5,transfered successed,134250
3115499_0086.h5,transfered successed,238375
3115499_0092.h5,transfered successed,230500
3115499_0110.h5,transfered successed,81000
3115499_0116.h5,transfered successed,185500
3115499_0125.h5,transfered successed,447625
3115499_0128.h5,transfered successed,96000
3115499_0134.h5,transfered successed,357875
3115499_0149.h5,transfered successed,170250
3115499_0155.h5,transfered successed,522875
3115499_0188.h5,transfered successed,515375
3115499_0232.h5,transfered successed,192625
3115499_0235.h5,transfered successed,80750
3115499_0247.h5,transfered successed,141625
3115499_0253.h5,transfered successed,110125
3115499_0256.h5,transfered successed,81000
3115499_0259.h5,transfered successed,155000
3115499_0273.h5,transfered successed,888125
3115499_0276.h5,transfered successed,88750
3115499_0279.h5,transfered successed,95375
3115499_0282.h5,transfered successed,111125
3115499_0285.h5,transfered successed,94625
3115499_0294.h5,transfered successed,160500
3115499_0299.h5,transfered successed,283875
3115499_0320.h5,transfered successed,298750
3115499_0332.h5,transfered successed,133125
3115499_0341.h5,transfered successed,186375
3115499_0356.h5,transfered successed,88625
3115499_0365.h5,transfered successed,273250
3115499_0389.h5,transfered successed,103125
3115499_0395.h5,transfered successed,125375
3115499_0401.h5,transfered successed,162375
3115499_0404.h5,transfered successed,111375
3115499_0434.h5,transfered successed,125500
3115499_0539.h5,transfered successed,96750
3115499_0550.h5,transfered successed,282625
3115499_0556.h5,transfered successed,141500
3115499_0562.h5,transfered successed,81125
3115499_0568.h5,transfered successed,80875
3115499_0583.h5,transfered successed,193250
3115499_0586.h5,transfered successed,111500
3115499_0622.h5,transfered successed,169125
3115499_0637.h5,transfered successed,289250
3115499_0640.h5,transfered successed,148500
3115499_0658.h5,transfered successed,103625
3115499_0679.h5,transfered successed,80875
3115499_0700.h5,transfered successed,88375
3115499_0733.h5,transfered successed,132375
3115499_0748.h5,transfered successed,95125
3115499_0751.h5,transfered successed,141000
3115499_0754.h5,transfered successed,149500
3115499_0757.h5,transfered successed,316875
3115499_0760.h5,transfered successed,95625
3115499_0781.h5,transfered successed,230750
3115499_0790.h5,transfered successed,79625
3115499_0832.h5,transfered successed,103625
3115499_0838.h5,transfered successed,243750
3115499_0847.h5,transfered successed,88875
3115499_0853.h5,transfered successed,171125
3115499_0856.h5,transfered successed,103500
3115499_0859.h5,transfered successed,133625
3115499_0862.h5,transfered successed,81750
3115499_0865.h5,transfered successed,117875
3115499_0868.h5,transfered successed,110875
3115499_0871.h5,transfered successed,117250
3115499_0877.h5,transfered successed,95250
3115499_0892.h5,transfered successed,252375
3115499_0901.h5,transfered successed,282000
3115499_0954.h5,transfered successed,148625
3115499_0966.h5,transfered successed,89125
3115499_0986.h5,transfered successed,297125
3115499_0989.h5,transfered successed,295250
3115499_0998.h5,transfered successed,80750
3115499_1007.h5,transfered successed,117875
3115499_1013.h5,transfered successed,80500
3115499_1019.h5,transfered successed,81125
3115499_1025.h5,transfered successed,187375
3115499_1028.h5,transfered successed,125625
3115499_1046.h5,transfered successed,96375
3115499_1055.h5,transfered successed,102250
3115499_1061.h5,transfered successed,93750
3115499_1070.h5,transfered successed,252375
3115499_1099.h5,transfered successed,253000
3115499_1102.h5,transfered successed,133500
3115499_1111.h5,transfered successed,249375
3115499_1120.h5,transfered successed,304125
3115499_1132.h5,transfered successed,81500
3115499_1135.h5,transfered successed,89000
3115499_1138.h5,transfered successed,102000
3115499_1141.h5,transfered successed,103000
3115499_1150.h5,transfered successed,103125
3115499_1177.h5,transfered successed,127375
3115499_1189.h5,transfered successed,88375
3115499_1225.h5,transfered successed,88000
3115499_1243.h5,transfered successed,100750
3115499_1249.h5,transfered successed,118375
3115499_1272.h5,transfered successed,87625
3115499_1296.h5,transfered successed,125750
3115499_1305.h5,transfered successed,140000
3115499_1314.h5,transfered successed,133875
3115499_1320.h5,transfered successed,111500
3115499_1347.h5,transfered successed,243875
3115499_1481.h5,transfered successed,106625
3115499_1490.h5,transfered successed,502375
3115499_1616.h5,transfered successed,95750
3115499_1736.h5,transfered successed,131500
3115499_1754.h5,transfered successed,87750
3115757_0001.h5,transfered successed,2322375
3116037_0002.h5,transfered successed,3773000
3116920_0012.h5,transfered successed,4226750
3116920_0014.h5,transfered successed,276125
3116920_0039.h5,transfered successed,100625
3118623_0063.h5,transfered successed,2218000
3118623_0065.h5,transfered successed,659000
3119350_0005.h5,transfered successed,297000
3119350_0011.h5,transfered successed,6534625
3119474_0003.h5,transfered successed,904750
3119474_0006.h5,transfered successed,4404000
3119474_0009.h5,transfered successed,732750
3119474_0010.h5,transfered successed,14096000
3119474_0015.h5,transfered successed,696625
3119474_0018.h5,transfered successed,576500
3119474_0021.h5,transfered successed,2645875
3119802_0014.h5,transfered successed,863500
3119802_0017.h5,transfered successed,931125
3119802_0020.h5,transfered successed,1260625
3121390_0009.h5,transfered successed,7292125
3121390_0012.h5,transfered successed,395500
3121390_0014.h5,transfered successed,285125
3121390_0017.h5,transfered successed,989500
3121390_0020.h5,transfered successed,329375
3121390_0023.h5,transfered successed,148625
3121390_0026.h5,transfered successed,132750
3121390_0029.h5,transfered successed,156750
3121390_0041.h5,transfered successed,126625
3121390_0047.h5,transfered successed,80875
3121390_0077.h5,transfered successed,110250
3121390_0089.h5,transfered successed,86750
3121390_0116.h5,transfered successed,77500
3121390_0122.h5,transfered successed,172125
3121390_0125.h5,transfered successed,7522375
3121390_0128.h5,transfered successed,5425750
3122962_0032.h5,transfered successed,1873375
3122962_0035.h5,transfered successed,2947250
3122962_0037.h5,transfered successed,2582750
3128122_0007.h5,transfered successed,185250
3128122_0013.h5,transfered successed,266625
3128122_0016.h5,transfered successed,964375
3128122_0019.h5,transfered successed,64125
3128122_0022.h5,transfered successed,482875
3128122_0025.h5,transfered successed,151500
3128122_0028.h5,transfered successed,554375
3128122_0034.h5,transfered successed,229250
3128122_0037.h5,transfered successed,538125
3128122_0043.h5,transfered successed,955750
3128122_0046.h5,transfered successed,489000
3128122_0063.h5,transfered successed,153000
3128122_0066.h5,transfered successed,1113125
3128122_0067.h5,transfered successed,173000
3128122_0070.h5,transfered successed,101000
3128122_0073.h5,transfered successed,167125
3128122_0102.h5,transfered successed,109500
3128122_0105.h5,transfered successed,896750
3128122_0108.h5,transfered successed,68500
3128125_0010.h5,transfered successed,3661250
3128125_0013.h5,transfered successed,393250
3128125_0014.h5,transfered successed,3507500
3128125_0017.h5,transfered successed,3305750
3129377_0054.h5,transfered successed,1140250
3131987_0019.h5,transfered successed,8610375
3131987_0079.h5,transfered successed,47125
3131987_0083.h5,transfered successed,1028000
3131987_0091.h5,transfered successed,244375
3131987_0097.h5,transfered successed,1517375
3131987_0098.h5,transfered successed,1236000
3131987_0101.h5,transfered successed,61125
3131987_0102.h5,transfered successed,69750
3131987_0122.h5,transfered successed,1527625
3131987_0125.h5,transfered successed,742625
3131987_0128.h5,transfered successed,337875
3131987_0130.h5,transfered successed,3124250
3131987_0153.h5,transfered successed,2690375
3132009_0007.h5,transfered successed,2628375
3132906_0015.h5,transfered successed,413500
3132906_0017.h5,transfered successed,2325750
3136137_0019.h5,transfered successed,9083000
3137067_0044.h5,transfered successed,1977375
3137067_0141.h5,transfered successed,149250
3137067_0178.h5,transfered successed,3670875
3137067_0186.h5,transfered successed,529625
3139514_0002.h5,transfered successed,157125
3139514_0005.h5,transfered successed,2224125
3139514_0008.h5,transfered successed,846750
3139514_0011.h5,transfered successed,463750
3139514_0014.h5,transfered successed,1476250
3139514_0017.h5,transfered successed,2360000
3141245_0091.h5,transfered successed,37250
3142878_0053.h5,transfered successed,5252000
3145450_0003.h5,transfered successed,1066750
3146058_0009.h5,transfered successed,43750
3146058_0012.h5,transfered successed,186500
3146058_0024.h5,transfered successed,338125
3146058_0027.h5,transfered successed,333875
3146058_0033.h5,transfered successed,615500
3146058_0035.h5,transfered successed,211500
3146058_0038.h5,transfered successed,128500
3146058_0044.h5,transfered successed,283875
3146058_0056.h5,transfered successed,522375
3146058_0059.h5,transfered successed,130750
3146058_0071.h5,transfered successed,251750
3146058_0077.h5,transfered successed,342625
3146058_0083.h5,transfered successed,191500
3146058_0092.h5,transfered successed,215375
3146058_0095.h5,transfered successed,144750
3146058_0101.h5,transfered successed,161125
3146058_0107.h5,transfered successed,209750
3146058_0110.h5,transfered successed,279125
3146058_0113.h5,transfered successed,126125
3146058_0119.h5,transfered successed,464000
3146058_0122.h5,transfered successed,70250
3146058_0125.h5,transfered successed,409875
3146058_0128.h5,transfered successed,2042125
3150663_0007.h5,transfered successed,745125
3150663_0008.h5,transfered successed,4289125
3150663_0012.h5,transfered successed,2319000
3150663_0019.h5,transfered successed,740750
3150663_0022.h5,transfered successed,383875
3150663_0028.h5,transfered successed,577125
3150663_0037.h5,transfered successed,670000
3150663_0040.h5,transfered successed,373625
3150663_0046.h5,transfered successed,123500
3150663_0061.h5,transfered successed,1285500
3150663_0089.h5,transfered successed,2656875
3150663_0096.h5,transfered successed,51125
3150663_0117.h5,transfered successed,1147000
3150663_0129.h5,transfered successed,45875
3150663_0130.h5,transfered successed,962750
3151391_0051.h5,transfered successed,1228875
3151391_0054.h5,transfered successed,1161500
3151391_0071.h5,transfered successed,6040250
3151391_0074.h5,transfered successed,4112375
3151391_0083.h5,transfered successed,3136250
3155052_0034.h5,transfered successed,4707250
3155225_0012.h5,transfered successed,70000
3155225_0015.h5,transfered successed,55125
3155225_0016.h5,transfered successed,2492375
3155225_0019.h5,transfered successed,813125
3155505_0006.h5,transfered successed,1879375
3155505_0007.h5,transfered successed,4606750
3155505_0013.h5,transfered successed,520250
3155505_0023.h5,transfered successed,508125
3157220_0005.h5,transfered successed,2668875
3158870_0027.h5,transfered successed,5985500
3158870_0028.h5,transfered successed,1917500
3158870_0039.h5,transfered successed,36500
3160820_0013.h5,transfered successed,1483750
3160820_0015.h5,transfered successed,2238500
3161920_0024.h5,transfered successed,131500
3162361_0003.h5,transfered successed,5343500
3162780_0003.h5,transfered successed,40875
3164220_0033.h5,transfered successed,1700875
3164220_0047.h5,transfered successed,4453500
3164220_0050.h5,transfered successed,6177750
3164220_0071.h5,transfered successed,1782125
3164310_0021.h5,transfered successed,83250
3164310_0022.h5,transfered successed,115125
3165360_0011.h5,transfered successed,1708375
3165360_0013.h5,transfered successed,222125
3165360_0019.h5,transfered successed,869250
3166769_0014.h5,transfered successed,134000
3166769_0023.h5,transfered successed,963875
3166769_0035.h5,transfered successed,178750
3166769_0047.h5,transfered successed,1318125
3166769_0048.h5,transfered successed,288250
3166769_0051.h5,transfered successed,96125
3166769_0054.h5,transfered successed,186625
3166769_0066.h5,transfered successed,238000
3166769_0075.h5,transfered successed,224125
3166769_0093.h5,transfered successed,118750
3166769_0099.h5,transfered successed,104125
3166769_0102.h5,transfered successed,111000
3166769_0108.h5,transfered successed,253250
3166769_0114.h5,transfered successed,104000
3166769_0120.h5,transfered successed,139750
3166769_0135.h5,transfered successed,73500
3166769_0141.h5,transfered successed,253000
3166769_0156.h5,transfered successed,104125
3166769_0165.h5,transfered successed,95625
3166769_0171.h5,transfered successed,132875
3166769_0174.h5,transfered successed,80500
3166769_0177.h5,transfered successed,43625
3166769_0183.h5,transfered successed,111250
3166769_0186.h5,transfered successed,36500
3166769_0195.h5,transfered successed,36500
3166769_0198.h5,transfered successed,185000
3166769_0201.h5,transfered successed,43750
3166769_0204.h5,transfered successed,87750
3166769_0207.h5,transfered successed,194125
3166769_0210.h5,transfered successed,268375
3166769_0213.h5,transfered successed,401375
3166769_0216.h5,transfered successed,669500
3166769_0219.h5,transfered successed,320875
3166769_0228.h5,transfered successed,89125
3174498_0019.h5,transfered successed,536750
3174498_0020.h5,transfered successed,1353250
3174498_0021.h5,transfered successed,9660375
3174498_0027.h5,transfered successed,306125
3174498_0030.h5,transfered successed,606750
3174498_0033.h5,transfered successed,172250
3174978_0001.h5,transfered successed,435875
3174978_0005.h5,transfered successed,370750
3174978_0008.h5,transfered successed,792375
3174978_0012.h5,transfered successed,36250
3174978_0014.h5,transfered successed,3097875
3174978_0024.h5,transfered successed,491500
3174978_0041.h5,transfered successed,42500
3174978_0048.h5,transfered successed,476125
3174978_0058.h5,transfered successed,101375
3174978_0064.h5,transfered successed,147000
3174978_0072.h5,transfered successed,266000
3174978_0074.h5,transfered successed,122500
3174978_0076.h5,transfered successed,1340125
3174978_0080.h5,transfered successed,916500
3174978_0087.h5,transfered successed,199250
3174978_0089.h5,transfered successed,70000
3174978_0103.h5,transfered successed,714000
3202085_0039.h5,transfered successed,446250
3202085_0076.h5,transfered successed,4755250
3202085_0085.h5,transfered successed,3516500
3202085_0110.h5,transfered successed,2054625
3202085_0169.h5,transfered successed,1543500
3202085_0180.h5,transfered successed,1981625
3203174_0009.h5,transfered successed,185000
3203174_0015.h5,transfered successed,151500
3203174_0018.h5,transfered successed,1601750
3204143_0002.h5,transfered successed,1968125
3204143_0003.h5,transfered successed,1080125
3204143_0005.h5,transfered successed,710500
3204143_0006.h5,transfered successed,412000
3204143_0016.h5,transfered successed,2989250
3204143_0021.h5,transfered successed,1575625
3205889_0021.h5,transfered successed,3650250
3205889_0024.h5,transfered successed,756625
3205889_0027.h5,transfered successed,4774875
3213238_0013.h5,transfered successed,603875
3213238_0022.h5,transfered successed,700250
3213238_0034.h5,transfered successed,146375
3213238_0043.h5,transfered successed,89000
3213238_0055.h5,transfered successed,140500
3213238_0058.h5,transfered successed,124875
3213238_0061.h5,transfered successed,380250
3213238_0067.h5,transfered successed,287625
3213238_0070.h5,transfered successed,378750
3213238_0073.h5,transfered successed,281875
3213238_0079.h5,transfered successed,103125
3213238_0088.h5,transfered successed,389000
3213238_0100.h5,transfered successed,162375
3213238_0103.h5,transfered successed,164375
3213238_0106.h5,transfered successed,132125
3213238_0109.h5,transfered successed,170750
3213238_0112.h5,transfered successed,133625
3213238_0124.h5,transfered successed,126375
3213238_0133.h5,transfered successed,119000
3213238_0136.h5,transfered successed,88625
3213238_0142.h5,transfered successed,126000
3213238_0145.h5,transfered successed,222750
3213765_0021.h5,transfered successed,208375
3213765_0036.h5,transfered successed,87625
3213765_0054.h5,transfered successed,462625
3213765_0057.h5,transfered successed,95750
3213765_0060.h5,transfered successed,175500
3213765_0075.h5,transfered successed,193250
3213765_0123.h5,transfered successed,79750
3213765_0126.h5,transfered successed,110750
3213765_0150.h5,transfered successed,116000
3214024_0007.h5,transfered successed,4229875
3216751_0009.h5,transfered successed,3276625
3216751_0012.h5,transfered successed,1153375
3216751_0015.h5,transfered successed,2622500
3216751_0018.h5,transfered successed,2098000
3216751_0023.h5,transfered successed,4469625
3225313_0046.h5,transfered successed,359125
3225313_0052.h5,transfered successed,1145375
3225313_0108.h5,transfered successed,541250
3225313_0118.h5,transfered successed,119000
3225313_0129.h5,transfered successed,1641375
3225313_0135.h5,transfered successed,824000
3225313_0144.h5,transfered successed,2477625
3225313_0150.h5,transfered successed,2493125
3225313_0153.h5,transfered successed,396000
3225313_0165.h5,transfered successed,2599500
3225313_0168.h5,transfered successed,854625
3225313_0175.h5,transfered successed,629125
3225313_0178.h5,transfered successed,1297375
3225313_0185.h5,transfered successed,734250
3225313_0203.h5,transfered successed,1115750
3225313_0209.h5,transfered successed,307500
3225313_0215.h5,transfered successed,372000
3225313_0218.h5,transfered successed,155375
3225313_0224.h5,transfered successed,104625
3225313_0225.h5,transfered successed,194875
3225313_0226.h5,transfered successed,1585875
3230234_0008.h5,transfered successed,550375
3230234_0011.h5,transfered successed,215125
3230234_0017.h5,transfered successed,867500
3230234_0020.h5,transfered successed,494625
3230234_0023.h5,transfered successed,176750
3230234_0026.h5,transfered successed,378875
3230234_0029.h5,transfered successed,116000
3230234_0032.h5,transfered successed,759500
3230234_0035.h5,transfered successed,626000
3230234_0041.h5,transfered successed,2557000
3230234_0044.h5,transfered successed,239750
3230234_0047.h5,transfered successed,1784875
3232265_0008.h5,transfered successed,1665375
3232265_0012.h5,transfered successed,549250
3232265_0015.h5,transfered successed,1088750
3239480_0008.h5,transfered successed,548375
3239480_0028.h5,transfered successed,125500
3239480_0035.h5,transfered successed,1549000
3239480_0044.h5,transfered successed,543375
3239480_0045.h5,transfered successed,8927625
3239480_0046.h5,transfered successed,4868000
3239480_0047.h5,transfered successed,618250
3239480_0055.h5,transfered successed,2426500
3239567_0009.h5,transfered successed,208250
3242351_0042.h5,transfered successed,103125
3246332_0009.h5,transfered successed,246375
3246332_0012.h5,transfered successed,282125
3246332_0016.h5,transfered successed,1371875
3248153_0001.h5,transfered successed,1047250
3248153_0003.h5,transfered successed,1770250
3248153_0006.h5,transfered successed,1467500
3248153_0012.h5,transfered successed,2591500
3256005_0019.h5,transfered successed,1093750
3256005_0049.h5,transfered successed,3120000
3256005_0061.h5,transfered successed,1632000
3256005_0070.h5,transfered successed,853250
3256005_0086.h5,transfered successed,604875
3256005_0094.h5,transfered successed,2112875
3256005_0097.h5,transfered successed,920750
3256005_0107.h5,transfered successed,65125
3256005_0129.h5,transfered successed,1662750
3256005_0132.h5,transfered successed,516125
3257184_0015.h5,transfered successed,629000
3257184_0018.h5,transfered successed,170750
3257184_0021.h5,transfered successed,94250
3257184_0024.h5,transfered successed,1073875
3257184_0027.h5,transfered successed,49250
3257184_0030.h5,transfered successed,1710000
3257896_0008.h5,transfered successed,6064875
3260973_0007.h5,transfered successed,140250
3260973_0009.h5,transfered successed,721500
3260973_0010.h5,transfered successed,102125
